Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,25
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Legal Workers,1
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Managers,22
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Medical and Health Workers,8
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Professionals and Technical Workers,10
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Service Workers,8
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Science Technicians,33
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Scientists,9
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Production and Related Workers,6
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Protective Service Workers,4
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Sales/Service Workers,29
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,System Analysts and Computer Programmers,148
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Teaching Profession,79
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers not reporting any occupation,16
2009/10,The Hong Kong University of Science and Technology,Undergraduate,Further studies,Not in Full-time Employment,133
2009/10,The Hong Kong University of Science and Technology,Undergraduate,Others,Not in Full-time Employment,15
2009/10,The Hong Kong University of Science and Technology,Undergraduate,Underemployed,Not in Full-time Employment,49
2009/10,The Hong Kong University of Science and Technology,Undergraduate,Unemployed,Not in Full-time Employment,28
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Accountants and Auditors,2
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Aircraft and Ship Officers,1
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Architects and Surveyors,2
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Artists,1
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,2
""
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Business Professionals,15
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Clerical and Related Workers,2
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,6
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,3
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Engineers,25
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),1
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Managers,2
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,12
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,2
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,56
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,15
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Protective Service Workers,1
2009/10,The University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,7
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,81
2009/10,The University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,42
2009/10,The University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,56
2009/10,The University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,25
2009/10,The University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,18
2009/10,The University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,5
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,62
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,6
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,1
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),2
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,57
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,17
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,12
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Protective Service Workers,1
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Sales/Service Workers,1
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,90
2009/10,The University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,33
2009/10,The University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,13
2009/10,The University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,5
2009/10,The University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,10
2009/10,The University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,140
2009/10,The University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,7
2009/10,The University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,70
2009/10,The University of Hong Kong,Undergraduate,FT employment,Artists,6
2009/10,The University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,57
2009/10,The University of Hong Kong,Undergraduate,FT employment,Business Professionals,524
2009/10,The University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,31
2009/10,The University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,46
2009/10,The University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,13
2009/10,The University of Hong Kong,Undergraduate,FT employment,Engineers,172
2009/10,The University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),22
2009/10,The University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,19
2009/10,The University of Hong Kong,Undergraduate,FT employment,Legal Workers,12
2009/10,The University of Hong Kong,Undergraduate,FT employment,Managers,31
2009/10,The University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,334
2009/10,The University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,59
2009/10,The University of Hong Kong,Undergraduate,FT employment,Other Service Workers,2
2009/10,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,24
2009/10,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,17
2009/10,The University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,20
2009/10,The University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,24
2009/10,The University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,90
2009/10,The University of Hong Kong,Undergraduate,FT employment,Teaching Profession,236
2009/10,The University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,134
2009/10,The University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,541
2009/10,The University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,37
2009/10,The University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,136
2009/10,The University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,8
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Artists,1
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,1
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Business Professionals,1
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,2
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,2
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Engineers,4
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Managers,1
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,7
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,1
2010/11,City University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,2
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,25
2010/11,City University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,3
2010/11,City University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,4
2010/11,City University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,16
2010/11,City University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,2
2010/11,City University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,4
2010/11,City University of Hong Kong,Sub-degree,FT employment,Architects and Surveyors,62
2010/11,City University of Hong Kong,Sub-degree,FT employment,Artists,1
2010/11,City University of Hong Kong,Sub-degree,FT employment,Authors | Journalists and Related Writers,1
2010/11,City University of Hong Kong,Sub-degree,FT employment,Business Professionals,7
2010/11,City University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,3
